names,scores,logfoldchanges,pvals,pvals_adj
AURKB,3.5937238,25.114845,0.00032598542723992794,0.0011161396275142232
BUB1B,3.2768579,24.952335,0.0010496921787718307,0.003401159751000087
MELK,3.5318964,24.802427,0.00041259116763283304,0.0013978165071648779
NEK2,2.4112728,24.359194,0.01589695617649935,0.04460837854590183
UBE2C,5.225502,8.764475,1.736832579633311e-07,8.012791955947718e-07
NCAPG,4.089695,8.400371,4.319410979877281e-05,0.0001613694209832018
PKMYT1,2.7446764,7.8112683,0.006057059467141777,0.017895446589861416
MYBL2,3.62535,7.5467634,0.00028857048779032076,0.00099442351754951
SPC25,3.3469296,7.358167,0.0008171196061802434,0.0026766945208124217
HJURP,2.8832603,7.3164554,0.003935822515418543,0.011893299462413486
KIF20A,3.2539365,7.1027303,0.0011381769605514468,0.0036745454459182485
CEP55,3.7112103,6.8294826,0.0002062707582414001,0.0007208551731581238
PIMREG,3.6804376,6.7680306,0.00023283398814250513,0.0008089930182288421
MKI67,5.651785,6.7620482,1.5879006444968733e-08,7.99082813890355e-08
PBK,4.2753677,6.736229,1.9082206775810166e-05,7.381702908682678e-05
ASPM,4.600223,6.538834,4.2203863673408855e-06,1.7322210811332635e-05
ANLN,4.1504784,6.3532467,3.3178111295963256e-05,0.00012537019339310467
RRM2,5.2557526,6.292429,1.4742042883505563e-07,6.838738440418307e-07
MCM10,2.9285622,6.2577753,0.0034053364287268888,0.010376260412238401
SHCBP1,3.8256261,6.0668573,0.00013044016989281716,0.0004652366059510479
HMMR,3.641857,6.005657,0.0002706785643117396,0.0009349763246629988
KIF18B,2.565292,5.9996166,0.010308904703151076,0.029635962244649976
SLC26A7,13.263176,5.9698553,3.7851900841837204e-40,9.91483674886422e-39
POLQ,2.542042,5.910656,0.01102069054657467,0.031557800900725755
CKAP2L,3.292327,5.8811593,0.0009936201994333435,0.0032277806337939574
PENK,6.520459,5.7995887,7.009253091429196e-11,4.2719910033599586e-10
CDCA2,2.9846663,5.6611123,0.002838877966527463,0.008736770098677446
DEPDC1,3.322688,5.6471725,0.0008915456215318071,0.002910519944576625
CDCA8,2.87458,5.62481,0.004045654499886865,0.012206556685396264
CALB2,11.953179,5.621981,6.248787267587727e-33,1.2621912649173373e-31
ASF1B,2.9692032,5.6205444,0.002985729623727114,0.009158110134183675
CDC45,2.8052328,5.6016574,0.005028026491470526,0.015000721084952384
TPX2,5.08888,5.563441,3.601839233963195e-07,1.6219982237702637e-06
BUB1,2.9594085,5.413426,0.0030823027359306887,0.009434488151187009
NCAPH,2.5500777,5.389681,0.01076989549470568,0.03087501216374828
TTK,3.4230778,5.28258,0.0006191633193202634,0.002056186107647988
TK1,6.3822255,5.26925,1.7453287107063192e-10,1.0262740199406795e-09
PCLAF,12.916594,5.258779,3.628522416761534e-38,8.859668875393162e-37
TROAP,3.4927967,5.2469387,0.00047799048839885236,0.0016083718315926903
FOXM1,4.250512,5.222058,2.1328234782177793e-05,8.215001675031177e-05
TOP2A,6.6954713,5.2066708,2.1497778415063757e-11,1.350641426471689e-10
FAM111B,3.3220801,5.0167093,0.000893490495210669,0.0029165255705268867
KIFC1,3.5030704,4.972571,0.00045992779641450943,0.0015517383761912953
KIF2C,3.2229245,4.9229035,0.0012688897353280864,0.004073765203330313
CIT,3.8706703,4.921775,0.00010853653662776064,0.0003902274311838519
BIRC5,5.7109413,4.861214,1.1235303127925259e-08,5.7299218915015215e-08
NUF2,3.8100033,4.7988997,0.00013896489961572343,0.0004946864820874172
POTEI,2.6493928,4.7800856,0.008063656026151594,0.023453830757004527
CDCA5,3.314026,4.6696424,0.0009196290266174348,0.0029990208536889817
CDCA3,3.7744133,4.5604076,0.00016038470723320742,0.0005672930940081528
MND1,4.434109,4.546977,9.245371770414825e-06,3.679692487053081e-05
CDC20,4.0594473,4.472432,4.9188989879139897e-05,0.00018282919481231276
KIF15,3.686508,4.463666,0.0002273522798282035,0.000791136832104345
CDKN3,5.6514106,4.434374,1.5913656552185347e-08,8.006811256911991e-08
DIAPH3,3.8881598,4.410417,0.00010100713265464995,0.0003641960274861194
KLK3,5.697603,4.379777,1.2150356743115116e-08,6.175001584851443e-08
KIF11,5.1121454,4.3730226,3.1852047986593265e-07,1.4404631296547963e-06
BRIP1,3.2741926,4.3239794,0.0010596435426856222,0.0034309967868263406
DLGAP5,3.3352556,4.319649,0.0008522103765309708,0.0027876895850805945
DTL,3.0127122,4.2584167,0.002589242960536434,0.008002195847590744
KNL1,4.2288404,4.251521,2.348987954389178e-05,9.011282278514298e-05
BCAS1,8.455059,4.2476625,2.7894674091943486e-17,2.5708184340207176e-16
CCNB2,6.148407,4.1317325,7.826495347456558e-10,4.371133929142756e-09
CGREF1,4.0527754,4.1309958,5.0613632479178085e-05,0.00018799833760829143
RAD51AP1,5.0433908,4.1029434,4.573536512608201e-07,2.0387725112187626e-06
NUSAP1,5.7506795,4.0531654,8.888541988568178e-09,4.571792207297511e-08
SGO1,3.3688836,4.0487375,0.0007547328329018526,0.002479657498305755
CENPM,5.2844496,4.046357,1.2608341563628337e-07,5.879437485324451e-07
AC005725.1,6.08494,3.9612875,1.1653499190161919e-09,6.4333351206565186e-09
GREB1L,5.431606,3.9583335,5.584914000794607e-08,2.6754489490755567e-07
CENPE,4.9402037,3.95323,7.804096510814622e-07,3.418285547719387e-06
PHACTR3,2.9256146,3.9129844,0.0034377656688422014,0.010467018235621175
CENPA,2.4984472,3.8706388,0.01247387316396656,0.035509855880123814
CYP2J2,2.6013763,3.8704684,0.009285053308532496,0.02681499399117977
CBLN2,3.426735,3.8276052,0.0006108852443839246,0.0020313730234715263
LINC01088,8.047168,3.8058872,8.473184557429957e-16,7.117834605639782e-15
HOXA13,11.600659,3.776584,4.089169386012727e-31,7.600479624049008e-30
CENPF,8.556007,3.773648,1.1684370501931892e-17,1.1006422832088325e-16
KIF4A,3.1626015,3.7574863,0.0015636617017131904,0.0049637751133536825
KIF23,4.154562,3.7152963,3.259110456871511e-05,0.00012333705870719674
NLGN3,5.1497097,3.6952739,2.608897140166331e-07,1.1868083789466437e-06
GABRA3,2.5556812,3.694091,0.010598015999604086,0.03040716610384388
CDT1,5.299341,3.692744,1.1622122338069674e-07,5.430515534562888e-07
KIF18A,2.494695,3.6910846,0.012606542694869265,0.035861744785763906
PLAC9,41.659477,3.6232219,0.0,0.0
CDC6,3.374042,3.6179292,0.0007407304517150782,0.0024362524339401805
MEDAG,20.506107,3.587265,1.8989762507014834e-93,1.570935189125081e-91
ESCO2,3.4177935,3.5373962,0.0006313096932043968,0.0020947659875207676
KLK1,11.652787,3.5297127,2.220754091942545e-31,4.206682033493079e-30
TYMS,8.972072,3.525397,2.909881627404005e-19,2.9922652890629756e-18
SPAG5,3.2254546,3.5205147,0.0012577276643756042,0.004038397261364977
ZNF367,2.5008729,3.5146163,0.012388764243575963,0.03528932300156446
SFRP4,50.05253,3.5126371,0.0,0.0
LINC01238,5.032423,3.490169,4.843190051272614e-07,2.154749171470829e-06
GTSE1,3.9161444,3.4779313,8.99764173792856e-05,0.0003256944167753581
AL121974.1,2.7003753,3.4647694,0.006926130250030906,0.020307220442139916
JAZF1-AS1,3.2937486,3.4394567,0.0009886087424572482,0.00321376118237158
OLFM1,26.269943,3.4315348,4.2303820793174235e-152,8.374041326008839e-150
JAKMIP2,2.6106646,3.424652,0.009036647536059853,0.026138462912725886
IGFN1,2.3880568,3.392626,0.016937728098223023,0.04736103912683429
KLK4,20.654099,3.3894212,8.967813413022479e-95,7.718168109164347e-93
ITGBL1,9.765559,3.3781521,1.5823734070429952e-22,1.9603180254529516e-21
CXCL13,7.3854146,3.3607328,1.5197894159223313e-13,1.108074824610775e-12
CENPU,5.6466756,3.3344939,1.6357991483291222e-08,8.219927796490473e-08
KCNIP4,4.9016137,3.3304868,9.505256431621065e-07,4.1301218483774626e-06
CLSPN,4.5621457,3.324701,5.063344002066375e-06,2.0632326470999186e-05
SLITRK6,14.209456,3.3240712,8.004399873163046e-46,2.4702219786744707e-44
PRC1,3.7226846,3.2775552,0.000197115690772307,0.0006904281014121516
SHISA6,21.332586,3.262009,5.659045080278443e-101,5.4079005624053966e-99
SPC24,4.9959793,3.2346087,5.85379264805328e-07,2.5910582280067167e-06
PCLO,5.295798,3.1916218,1.1849782728040168e-07,5.533159709219498e-07
LCNL1,7.304415,3.1521006,2.7847559948642684e-13,1.9920997131046325e-12
NDC80,4.646213,3.1432023,3.3808390965128435e-06,1.4016896214570038e-05
CHGA,6.471325,3.1329594,9.714722817346543e-11,5.843805370894828e-10
EPYC,4.6461916,3.117107,3.3811911808321257e-06,1.4016896214570038e-05
HTR1E,2.4914618,3.1130598,0.01272186473086902,0.03618608614252008
TLL1,3.1001692,3.109501,0.001934101287067827,0.006066751439559783
PTTG1,7.0456767,3.1071248,1.8456244866129075e-12,1.2496406400562792e-11
AL158071.1,2.560812,3.1048367,0.010442784358385367,0.029989728800407636
PLCXD3,18.359188,3.1013901,2.787386542248103e-75,1.701472318178892e-73
WFDC1,27.149439,3.0903401,2.570960102007656e-162,5.840083385814604e-160
RACGAP1,4.2613816,3.087051,2.0316696498919903e-05,7.841735516358874e-05
CILP,18.620308,3.0863266,2.1994925635898847e-77,1.4109846623788535e-75
ALDH1A3,26.588621,3.0725737,9.190677967092044e-156,1.9007556604628495e-153
SYBU,4.812103,3.0592992,1.4935057049462899e-06,6.381360363248059e-06
LINC00900,2.4386861,3.0585845,0.014740765902518093,0.04154488411029023
CCNE1,3.6560764,3.0284014,0.00025610512051666193,0.0008864045466314789
